System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag
QX_Car-1,B,4.478,6.64,-0.23,0.9669,0.0057,0.6324,0.0092,4.14,0.02,4.377,0.009,3.72,0.04,9.266164375,4.377,-0.23,-4.5
QX_Car-2,B,4.478,6.64,-0.23,0.9284,0.0062,0.6076,0.0098,4.151,0.021,4.354,0.01,3.58,0.04,8.480080989,4.354,-0.23,-4.15
DW_Car-1,B,1.328,9.68,0.07,1.0546,0.0046,0.6588,0.0043,4.175,0.008,4.446,0.016,4.055,0.063,11.33965913,4.446,0.07,-5.3375
DW_Car-2,B,1.328,9.68,0.07,1.0265,0.0057,0.6332,0.0056,4.198,0.011,4.423,0.016,3.915,0.067,10.62918583,4.423,0.07,-4.9875
V380_Cyg-1,B,12.426,5.68,-0.06,1.058,0.0072,1.1962,0.0036,3.104,0.006,4.336,0.006,4.691,0.041,11.42878335,4.336,-0.06,-6.9275
V380_Cyg-2,B,12.426,5.68,-0.06,0.8451,0.0087,0.5819,0.0055,4.12,0.011,4.356,0.023,3.626,0.038,7.000031591,4.356,-0.06,-4.265
V346_Cen-1,B,6.322,8.51,-0.06,1.0697,0.0044,0.9179,0.0041,3.672,0.008,4.417,0.005,4.457,0.022,11.74086245,4.417,-0.06,-6.3425
V346_Cen-2,B,6.322,8.51,-0.06,0.9222,0.0046,0.6152,0.0076,4.13,0.015,4.352,0.006,3.594,0.028,8.359879163,4.352,-0.06,-4.185
V453_Cyg-1,B,3.89,8.29,0.18,1.1449,0.0072,0.9378,0.0028,3.708,0.004,4.459,0.008,4.666,0.031,13.96046872,4.459,0.18,-6.865
V453_Cyg-2,B,3.89,8.29,0.18,1.0453,0.007,0.7202,0.0046,4.044,0.009,4.442,0.009,4.163,0.039,11.09941271,4.442,0.18,-5.6075
V578_Mon-1,B,2.408,8.54,0.17,1.1626,0.0024,0.7332,0.0032,4.133,0.018,4.477,0.007,4.33,0.03,14.5411917,4.477,0.17,-6.025
V578_Mon-2,B,2.408,8.54,0.17,1.0124,0.0025,0.6325,0.0051,4.185,0.021,4.411,0.007,3.86,0.03,10.28963572,4.411,0.17,-4.85
V573_Car-1,O,1.469,9.52,0.11,1.1793,0.0037,0.7347,0.0034,4.148,0.007,4.504,0.005,4.439,0.023,15.11123641,4.504,0.11,-6.2975
V573_Car-2,B,1.469,9.52,0.11,1.0924,0.0035,0.6559,0.0047,4.218,0.009,4.458,0.005,4.098,0.023,12.37086307,4.458,0.11,-5.445
V478_Cyg-1,O,2.881,8.63,-0.29,1.1875,0.0107,0.8609,0.0054,3.904,0.009,4.507,0.007,4.7,0.03,15.39926526,4.507,-0.29,-6.95
V478_Cyg-2,O,2.881,8.63,-0.29,1.1767,0.0101,0.8543,0.0055,3.907,0.01,4.502,0.008,4.67,0.04,15.02103991,4.502,-0.29,-6.875
GL_Car-1,B,2.422,9.7,0.17,1.2003,0.0085,0.7195,0.004,4.199,0.007,4.491,0.007,4.357,0.029,15.85988376,4.491,0.17,-6.0925
GL_Car-2,B,2.422,9.7,0.17,1.1746,0.0087,0.6962,0.0045,4.22,0.008,4.483,0.007,4.278,0.03,14.94858207,4.483,0.17,-5.895
AH_Cep-1,B,1.775,6.81,0.3,1.2079,0.007,0.8136,0.0067,4.019,0.012,4.487,0.008,4.53,0.03,16.1398688,4.487,0.3,-6.525
AH_Cep-2,B,1.775,6.81,0.3,1.1364,0.0067,0.7513,0.0085,4.073,0.018,4.459,0.008,4.3,0.04,13.68989131,4.459,0.3,-5.95
V1034_Sco-1,O,2.441,8.47,-0.22,1.2307,0.0036,0.8758,0.0043,3.917,0.009,4.508,0.007,4.738,0.028,17.00983105,4.508,-0.22,-7.045
V1034_Sco-2,B,2.441,8.47,-0.22,0.981,0.0024,0.6363,0.0051,4.147,0.01,4.412,0.005,3.874,0.028,9.571940713,4.412,-0.22,-4.885
