logL,Mass[solMass],Vmag,logT,Absolute Mag,B-V,Predicted_SpT
-0.69,0.53,10.32,3.639,7.09,1.17,K
-0.69,0.28,10.32,3.639,7.09,1.17,K
-0.69,0.28,10.32,3.639,7.09,1.17,K
-0.7,-1.0,10.49,3.623,7.26,1.24,K
-0.81,0.61,10.5,3.652,7.27,1.11,K
-0.81,3.58,10.5,3.652,7.27,1.11,K
-0.81,0.32,10.5,3.652,7.27,1.11,K
-0.64,-1.0,10.51,3.606,7.28,1.34,K
-0.69,-1.0,10.71,3.601,7.48,1.36,K
-0.86,0.57,10.73,3.641,7.5,1.16,K
-0.86,0.27,10.73,3.641,7.5,1.16,K
-0.86,0.26,10.73,3.641,7.5,1.16,K
-0.81,-1.0,10.9,3.609,7.67,1.3,K
-1.12,0.78,10.96,3.716,7.73,0.83,K
-0.93,0.53,11.02,3.627,7.79,1.22,K
-0.86,-1.0,11.04,3.607,7.81,1.31,K
-1.17,0.79,11.07,3.72,7.84,0.81,K
-1.26,0.78,11.31,3.718,8.08,0.82,K
-1.05,0.47,11.53,3.607,8.3,1.31,K
-0.97,-1.0,11.56,3.589,8.33,1.38,M
-0.95,-1.0,11.64,3.581,8.41,1.41,M
-1.43,0.77,11.73,3.714,8.5,0.84,K
0.62,-1.0,11.84,3.315,8.61,1.8,M
-1.03,-1.0,11.96,3.572,8.73,1.44,M
-1.07,-1.0,11.98,3.578,8.75,1.42,M
-1.08,-1.0,12.14,3.569,8.91,1.45,M
-1.49,0.68,12.16,3.659,8.93,1.08,K
-1.06,-1.0,12.17,3.564,8.94,1.47,M
-1.07,-1.0,12.2,3.564,8.97,1.47,M
-1.42,0.58,12.35,3.618,9.12,1.26,K
-1.42,0.11,12.35,3.618,9.12,1.26,K
-1.42,8.52,12.35,3.618,9.12,1.26,K
-1.33,0.49,12.37,3.594,9.14,1.36,K
-1.18,-1.0,12.38,3.569,9.15,1.45,M
-1.17,-1.0,12.44,3.564,9.21,1.47,M
-1.18,-1.0,12.55,3.558,9.32,1.49,M
-1.22,-1.0,12.79,3.55,9.56,1.52,M
-1.4,0.43,12.84,3.575,9.61,1.43,M
